,Education,NumSkills,WorkExperience,StartDates,EndDates
5032,Associates,0,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['03-2003', '11-2004', '08-2007', '05-2012', '03-2016']","['11-2004', '08-2007', '05-2012', '03-2016', '01-2019']"
5033,Bachelors,0,"['Specialist', 'Senior', 'Specialist', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior']","['10-1984', '05-1989', '04-2007', '08-2008', '03-2010', '04-2011', '07-2012', '02-2013', '09-2013', '08-2015', '04-2016', '09-2016', '02-2017', '01-2018', '02-2018', '04-2018']","['10-1988', '03-2007', '07-2008', '04-2010', '04-2011', '07-2012', '02-2013', '09-2013', '07-2015', '03-2016', '09-2016', '02-2017', '11-2017', '02-2018', '03-2018', '01-2019']"
5034,Masters,22,"['Junior', 'Specialist', 'Senior', 'Junior']","['01-2003', '01-2006', '01-2011', '01-2008']","['01-2006', '01-2008', '01-2015', '01-2019']"
5035,None/Other,3,"['Junior', 'Senior', 'Specialist', 'Specialist', 'Junior', 'Senior', 'Senior', 'Senior']","['02-1985', '02-2002', '02-2006', '02-2006', '01-2009', '03-2007', '12-2011', '03-2013']","['02-2004', '02-2006', '12-2006', '12-2006', '07-2011', '11-2011', '03-2013', '01-2019']"
5036,Certificate,0,"['Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Junior']","['01-1988', '06-1990', '09-1992', '08-1994', '12-1996', '01-2002', '01-2004', '12-2007', '03-2013']","['05-1990', '08-1994', '08-1994', '11-1996', '01-2002', '01-2004', '12-2007', '07-2008', '08-2018']"
5037,Bachelors,0,"['Senior', 'Senior', 'Senior', 'Senior', 'Specialist']","['09-1988', '09-1992', '02-2000', '06-2009', '01-2016']","['09-1992', '07-1999', '01-2006', '01-2016', '01-2016']"
5038,Bachelors,0,"['Junior', 'Senior', 'Specialist', 'Worker']","['06-2001', '01-2004', '01-2015', '01-2016']","['01-2002', '01-2015', '01-2016', '01-2019']"
5039,Bachelors,0,"['Worker', 'Junior', 'Worker', 'Senior', 'Senior', 'Senior', 'Worker', 'Senior']","['07-2005', '11-2010', '02-2012', '11-2014', '10-2015', '06-2012', '10-2016', '12-2016']","['05-2010', '12-2011', '04-2013', '04-2016', '10-2016', '01-2019', '01-2019', '01-2019']"
5040,Masters,0,"['Specialist', 'Worker', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Junior', 'Senior', 'Specialist']","['06-1981', '08-1994', '08-1995', '12-1996', '02-2001', '07-2001', '12-2007', '05-2008', '09-2008', '10-2013']","['08-1994', '08-1995', '12-1996', '02-2000', '07-2001', '12-2007', '09-2008', '09-2008', '10-2013', '01-2019']"
5041,Associates,8,"['Specialist', 'Senior', 'Specialist', 'Senior']","['07-1987', '01-2009', '03-2011', '02-2017']","['10-2009', '01-2011', '01-2016', '01-2019']"
5042,Bachelors,7,"['Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Specialist']","['01-2003', '01-2006', '01-2008', '01-2010', '06-2014', '05-2016']","['01-2006', '01-2007', '01-2010', '01-2014', '05-2016', '01-2019']"
5043,None/Other,3,"['Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['01-1984', '01-1986', '01-1987', '01-1988', '02-1990', '08-2008', '01-2018']","['01-1986', '01-1987', '01-1988', '01-1990', '08-2008', '12-2017', '01-2019']"
5044,Associates,8,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Worker', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior']","['05-2005', '11-2005', '11-2006', '09-2010', '12-2010', '08-2009', '03-2011', '10-2015', '12-2015', '01-2016', '06-2016', '05-2017', '08-2017', '06-2018']","['11-2005', '11-2006', '07-2010', '01-2011', '03-2011', '03-2013', '10-2015', '12-2015', '01-2016', '06-2016', '05-2017', '01-2019', '01-2019', '01-2019']"
5045,Bachelors,0,"['Worker', 'Senior', 'Specialist', 'Worker', 'Senior', 'Senior', 'Senior']","['04-2012', '10-2010', '08-2006', '04-2015', '10-2015', '02-2017', '12-2017']","['04-2013', '08-2014', '10-2014', '10-2015', '12-2016', '12-2017', '01-2019']"
5046,Masters,0,"['Specialist', 'Senior', 'Worker', 'Senior', 'Worker', 'Worker', 'Senior', 'Senior', 'Specialist']","['10-1999', '12-2005', '07-2006', '09-2009', '02-2011', '01-2014', '08-2015', '12-2015', '03-2018']","['01-2002', '07-2006', '01-2010', '02-2010', '12-2013', '10-2015', '09-2017', '02-2018', '01-2019']"
5047,None/Other,12,"['Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Junior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior']","['07-1999', '08-2001', '12-2002', '10-2004', '09-2006', '07-2009', '07-2011', '07-2013', '07-2014', '01-2015', '11-2014', '05-2016', '06-2017', '12-2017']","['08-2001', '12-2002', '10-2004', '08-2006', '07-2009', '07-2011', '07-2013', '07-2014', '02-2016', '02-2016', '05-2016', '07-2017', '12-2017', '01-2019']"
5048,Bachelors,15,"['Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist']","['12-2010', '05-2004', '09-2013', '07-2015', '11-2017']","['07-2011', '08-2012', '07-2015', '11-2017', '01-2019']"
5049,Bachelors,5,"['Senior', 'Senior', 'Worker', 'Senior', 'Worker', 'Junior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Junior', 'Senior']","['01-1993', '01-1998', '01-2002', '01-1997', '01-1999', '01-2003', '03-2007', '01-2009', '01-2009', '01-2007', '01-2011', '01-2011', '01-2012']","['01-1997', '01-1998', '01-2002', '01-2003', '01-2003', '01-2007', '05-2007', '01-2009', '01-2009', '01-2011', '01-2011', '01-2012', '01-2019']"
5050,Masters,8,"['Senior', 'Senior', 'Junior', 'Junior', 'Senior', 'Junior', 'Senior', 'Specialist', 'Senior', 'Senior']","['01-1974', '01-1980', '01-1989', '01-1991', '01-1992', '06-1994', '07-1994', '01-1994', '01-1999', '01-2001']","['01-1978', '01-1989', '01-1991', '01-1992', '01-1994', '08-1994', '08-1994', '01-1998', '01-2001', '01-2019']"
5051,Bachelors,1,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist']","['02-1995', '05-1997', '04-2000', '07-2004', '08-2005', '08-2007', '10-2010', '02-2013', '12-2016']","['03-1997', '03-2000', '06-2004', '08-2005', '08-2007', '07-2009', '07-2012', '12-2016', '01-2019']"
5052,Bachelors,7,"['Senior', 'Junior', 'Worker', 'Junior', 'Junior', 'Specialist']","['08-2008', '11-2009', '05-2012', '01-2014', '07-2015', '03-2017']","['11-2009', '03-2012', '12-2012', '06-2017', '01-2019', '01-2019']"
5053,Masters,0,"['Specialist', 'Specialist', 'Senior', 'Specialist', 'Junior', 'Specialist', 'Worker', 'Junior']","['09-1993', '07-2000', '09-2001', '08-2003', '09-2010', '01-2009', '10-2012', '11-2017']","['01-1999', '03-2001', '08-2002', '01-2009', '10-2011', '10-2012', '07-2017', '01-2019']"
5054,Bachelors,1,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior']","['11-2002', '06-2008', '10-2012', '03-2014', '06-2014', '07-2015', '03-2018']","['05-2008', '10-2012', '07-2013', '06-2014', '08-2014', '11-2017', '01-2019']"
5055,None/Other,0,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist']","['07-1989', '07-1992', '04-2005', '05-2007', '05-2007', '12-2009', '01-2011', '10-2013', '09-2014', '07-2015', '07-2017', '07-2017']","['10-1991', '04-2002', '05-2007', '05-2007', '06-2009', '07-2010', '01-2011', '12-2014', '12-2014', '07-2017', '01-2019', '01-2019']"
5056,Masters,4,"['Junior', 'Junior', 'Specialist', 'Worker', 'Senior', 'Worker', 'Worker', 'Senior', 'Senior']","['03-2006', '03-2007', '07-2009', '01-2011', '08-2007', '02-2012', '01-2013', '05-2014', '03-2016']","['03-2007', '07-2009', '01-2011', '02-2012', '01-2013', '01-2013', '04-2014', '03-2016', '01-2019']"
5057,None/Other,3,"['Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist']","['06-2000', '11-2009', '02-2014', '01-2015', '10-2017']","['11-2008', '02-2014', '01-2015', '08-2017', '01-2019']"
5058,Masters,6,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior']","['01-1971', '01-1975', '01-1998', '01-2000', '01-2001', '01-2010', '01-2000', '01-2004']","['01-1975', '01-1998', '01-2000', '01-2001', '01-2002', '08-2018', '01-2019', '01-2019']"
5059,Bachelors,0,"['Junior', 'Senior', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist']","['08-2002', '05-2003', '01-2009', '08-2007', '05-2010', '10-2010', '03-2012', '09-2012', '10-2013', '05-2017']","['11-2006', '02-2009', '04-2009', '04-2010', '10-2010', '01-2012', '09-2012', '10-2013', '04-2017', '01-2019']"
5060,Certificate,5,"['Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist']","['10-2004', '05-2008', '06-2010', '05-2012', '01-2014', '09-2014', '09-2017', '02-2015', '05-2017', '04-2018']","['05-2008', '06-2010', '09-2011', '08-2013', '12-2014', '12-2014', '11-2017', '04-2018', '01-2019', '01-2019']"
5061,Bachelors,5,"['Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist']","['10-1996', '03-2001', '12-2005', '08-2009', '02-2014', '10-2015', '05-2016']","['12-2000', '11-2005', '08-2009', '02-2014', '10-2015', '04-2016', '01-2019']"
5062,Certificate,1,"['Senior', 'Specialist', 'Senior', 'Worker', 'Junior', 'Worker', 'Specialist']","['01-1991', '01-2001', '01-1995', '04-2003', '01-2007', '01-2010', '01-2012']","['01-2003', '01-2003', '01-2006', '11-2010', '01-2019', '01-2019', '01-2019']"
5063,Masters,4,"['Worker', 'Worker', 'Senior', 'Senior', 'Senior', 'Worker', 'Worker', 'Specialist', 'Senior']","['05-1998', '11-1999', '03-2001', '09-2001', '10-2001', '05-2004', '05-2009', '11-2016', '07-2018']","['11-1999', '03-2001', '08-2001', '10-2001', '10-2001', '05-2004', '07-2010', '11-2016', '07-2018']"
5064,Masters,0,"['Senior', 'Senior', 'Junior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Worker', 'Junior', 'Specialist']","['04-1997', '07-2000', '08-2001', '02-2005', '06-2006', '11-2008', '05-2011', '01-2016', '11-2014', '06-2015', '06-2017']","['07-1999', '03-2001', '06-2004', '06-2008', '11-2008', '10-2009', '10-2014', '07-2016', '12-2016', '01-2019', '01-2019']"
5065,Certificate,14,"['Junior', 'Senior', 'Senior', 'Senior', 'Senior']","['12-1996', '07-2000', '06-2003', '07-2006', '09-2015']","['07-2000', '06-2003', '07-2006', '09-2015', '09-2017']"
5066,Bachelors,0,"['Senior', 'Specialist', 'Junior', 'Junior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior']","['12-1987', '01-1990', '04-1992', '03-1994', '03-1996', '10-2000', '01-2008', '08-2003', '12-2013']","['09-1989', '03-1992', '03-1994', '03-1996', '10-2000', '07-2003', '12-2013', '01-2019', '01-2019']"
5067,Certificate,6,"['Junior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Junior', 'Senior', 'Specialist', 'Specialist', 'Specialist']","['09-1989', '09-1991', '04-1992', '10-1998', '11-1997', '05-1999', '06-2000', '07-2003', '06-2010', '07-2008', '09-2013']","['09-1991', '04-1992', '11-1997', '05-1999', '10-1999', '05-2000', '06-2003', '07-2008', '07-2013', '01-2019', '01-2019']"
5068,Bachelors,15,"['Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior']","['06-1997', '09-2000', '09-2001', '05-2002', '01-2005', '08-2006', '08-2006', '07-2007', '11-2008', '04-2010']","['10-1999', '09-2001', '03-2002', '01-2005', '08-2006', '07-2007', '07-2007', '11-2008', '01-2019', '01-2019']"
5069,Bachelors,0,"['Junior', 'Junior', 'Junior', 'Senior', 'Specialist', 'Junior']","['10-1998', '12-2003', '11-2007', '06-2010', '06-2012', '09-2014']","['10-2002', '10-2007', '06-2010', '05-2012', '09-2014', '01-2019']"
5070,Bachelors,5,"['Senior', 'Worker', 'Worker', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior']","['01-1985', '09-1991', '12-1993', '03-2000', '06-2000', '01-2001', '10-2004', '12-2004', '11-2005', '01-2006', '10-2006', '05-2012', '02-2017', '01-2018']","['06-1992', '03-1995', '06-1997', '07-2000', '12-2000', '08-2004', '12-2004', '09-2005', '12-2005', '10-2006', '06-2011', '07-2016', '01-2019', '01-2019']"
5071,None/Other,0,"['Senior', 'Senior', 'Senior', 'Worker', 'Specialist', 'Worker', 'Worker', 'Worker']","['01-1984', '04-2007', '08-2008', '07-1993', '11-2011', '12-2014', '08-2015', '08-2016']","['09-1994', '08-2008', '09-2010', '10-2011', '12-2014', '08-2015', '08-2016', '01-2019']"
5072,Certificate,0,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['09-1987', '01-1993', '09-1998', '01-2001', '01-2013', '01-2018']","['06-1992', '02-1998', '07-2011', '12-2013', '04-2018', '01-2019']"
5073,Masters,0,"['Senior', 'Senior', 'Senior', 'Junior', 'Specialist', 'Specialist', 'Senior', 'Senior']","['08-2006', '03-2008', '09-2008', '08-2012', '03-2011', '02-2015', '11-2016', '03-2018']","['10-2007', '09-2008', '10-2009', '10-2013', '02-2015', '11-2016', '07-2017', '01-2019']"
5074,Bachelors,5,"['Senior', 'Senior', 'Worker', 'Worker', 'Senior']","['10-2009', '01-2014', '02-2016', '09-2016', '10-2017']","['01-2014', '05-2015', '09-2016', '09-2017', '01-2018']"
5075,Bachelors,10,"['Senior', 'Worker', 'Senior', 'Specialist']","['01-1990', '01-1992', '01-2004', '01-2016']","['01-1992', '01-2012', '01-2015', '01-2019']"
5076,Certificate,0,"['Senior', 'Senior', 'Worker', 'Specialist', 'Senior', 'Senior', 'Senior', 'Worker', 'Specialist', 'Senior', 'Worker', 'Senior', 'Junior', 'Senior', 'Senior', 'Senior']","['04-1986', '10-1987', '06-1989', '12-1996', '07-1997', '07-1999', '10-1999', '09-2003', '08-2004', '06-2006', '02-2007', '04-2007', '08-2010', '05-2016', '12-2017', '05-2018']","['10-1987', '06-1989', '10-1996', '07-1997', '07-1999', '10-1999', '06-2003', '07-2004', '05-2006', '02-2007', '04-2007', '07-2007', '05-2016', '12-2017', '04-2018', '01-2019']"
5077,Certificate,0,"['Senior', 'Senior', 'Worker', 'Specialist', 'Senior', 'Senior', 'Senior', 'Worker', 'Specialist', 'Senior', 'Worker', 'Senior', 'Junior', 'Senior', 'Senior', 'Senior']","['04-1986', '10-1987', '06-1989', '12-1996', '07-1997', '07-1999', '10-1999', '09-2003', '08-2004', '06-2006', '02-2007', '04-2007', '08-2010', '05-2016', '12-2017', '05-2018']","['10-1987', '06-1989', '10-1996', '07-1997', '07-1999', '10-1999', '06-2003', '07-2004', '05-2006', '02-2007', '04-2007', '07-2007', '05-2016', '12-2017', '04-2018', '01-2019']"
5078,Bachelors,5,"['Senior', 'Junior', 'Senior', 'Senior', 'Junior', 'Senior']","['07-2004', '07-2008', '02-2009', '07-2008', '02-2017', '12-2017']","['07-2008', '02-2009', '02-2017', '01-2019', '01-2019', '01-2019']"
5079,None/Other,1,"['Senior', 'Senior', 'Senior', 'Senior', 'Junior', 'Senior', 'Specialist', 'Worker']","['01-1973', '01-1994', '01-1997', '01-2005', '01-2010', '02-2014', '02-2015', '08-2016']","['01-1993', '01-1996', '01-2002', '01-2009', '01-2012', '01-2015', '04-2016', '05-2018']"
5080,Bachelors,5,"['Specialist', 'Senior', 'Senior', 'Specialist']","['12-1997', '08-2008', '05-2017', '12-2017']","['03-2008', '10-2017', '12-2017', '01-2019']"
5081,None/Other,5,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['01-2009', '05-2012', '05-2014', '10-2016', '05-2018']","['08-2011', '05-2014', '08-2016', '01-2018', '01-2019']"
5082,Associates,0,"['Worker', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Worker', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['06-1977', '03-1986', '01-2000', '01-2002', '09-1991', '01-2000', '01-2010', '05-2009', '04-2015', '02-2017', '09-2011', '06-2018']","['03-1986', '09-1991', '12-2002', '12-2009', '08-2010', '12-2010', '12-2012', '04-2015', '02-2017', '09-2017', '01-2019', '01-2019']"
5083,None/Other,3,"['Specialist', 'Junior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Worker', 'Senior', 'Worker', 'Junior', 'Senior', 'Specialist']","['01-1989', '07-1989', '02-1993', '05-1998', '05-1989', '05-2002', '04-2006', '11-2006', '08-2004', '10-2004', '03-2011', '10-2015', '07-2017']","['01-1993', '02-1993', '04-1998', '05-2002', '07-2004', '07-2004', '10-2006', '09-2008', '01-2011', '03-2011', '03-2012', '01-2019', '01-2019']"
5084,Certificate,1,"['Senior', 'Worker', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior']","['07-1977', '01-1991', '04-1995', '07-1992', '08-1997', '04-2001', '05-2002', '11-2002', '06-2005', '10-2006']","['12-1990', '05-1994', '08-1997', '07-2000', '04-2001', '05-2002', '05-2005', '05-2005', '07-2006', '06-2018']"
5085,None/Other,0,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['01-1984', '01-1998', '01-2001', '01-2005', '01-2010', '01-2010']","['01-1998', '01-2001', '01-2005', '01-2010', '01-2012', '01-2018']"
5086,None/Other,5,"['Specialist', 'Specialist', 'Specialist', 'Junior', 'Specialist', 'Senior', 'Specialist', 'Junior']","['07-2008', '01-2010', '10-2010', '01-2014', '11-2015', '05-2017', '01-2017', '08-2018']","['10-2010', '01-2014', '01-2014', '11-2015', '06-2016', '01-2018', '01-2019', '01-2019']"
5087,Doctorate,5,"['Senior', 'Specialist', 'Junior', 'Senior']","['01-1997', '01-2003', '01-2010', '01-2016']","['01-2002', '01-2010', '01-2016', '01-2016']"
5088,Masters,0,"['Worker', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist']","['01-1999', '01-2002', '01-2005', '01-2006', '01-2008', '01-2010', '01-2011', '02-2015']","['01-2002', '01-2005', '01-2006', '01-2008', '01-2010', '01-2011', '01-2013', '06-2017']"
5089,Masters,0,"['Worker', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Junior']","['12-1991', '07-2003', '02-2006', '06-2007', '04-2010', '03-2011', '03-2012', '02-2014', '09-2014', '10-2014']","['09-1992', '02-2006', '06-2007', '12-2009', '07-2010', '01-2012', '02-2014', '05-2014', '09-2014', '01-2019']"
5090,Certificate,9,"['Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Worker', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['02-1989', '04-1991', '01-1992', '01-1993', '01-1993', '11-1993', '01-1993', '01-1994', '10-1995', '01-1999', '04-1999', '06-2000', '01-2005', '04-1998', '07-2006', '02-2005', '01-2008', '01-2009', '01-2008', '01-2010', '06-2009', '02-2010', '06-1997', '09-2009', '10-2014', '10-2013', '01-2016', '08-2015', '10-2016', '01-2017', '01-2018']","['12-1990', '12-1991', '12-1992', '10-1993', '12-1993', '04-1994', '05-1994', '04-1995', '04-1996', '11-1999', '04-2000', '12-2003', '06-2005', '12-2005', '03-2007', '07-2007', '07-2008', '08-2009', '12-2009', '01-2010', '02-2010', '09-2010', '09-2011', '02-2015', '04-2015', '06-2015', '04-2016', '10-2016', '02-2017', '07-2017', '01-2019']"
5091,Masters,0,"['Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Worker', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['06-1987', '10-1996', '07-1998', '07-2000', '08-2001', '01-2002', '10-2004', '05-2005', '09-2008', '09-2009', '12-2006', '09-2010', '01-2011', '01-2012', '08-2011', '06-2012', '02-2008', '07-2012', '12-2012', '11-2013', '10-2014']","['06-1991', '06-1998', '06-2000', '08-2001', '01-2002', '10-2004', '05-2005', '12-2006', '09-2009', '09-2010', '01-2011', '01-2011', '08-2011', '01-2012', '06-2012', '07-2012', '12-2012', '12-2012', '11-2013', '10-2014', '11-2015']"
5092,None/Other,0,"['Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior']","['03-1998', '09-2005', '10-2007', '01-2007', '10-2008', '01-2011', '05-2013', '01-2015']","['09-2005', '10-2007', '10-2008', '01-2009', '01-2011', '05-2013', '01-2015', '07-2018']"
5093,Bachelors,5,"['Specialist', 'Senior', 'Specialist', 'Senior', 'Worker', 'Senior']","['10-1992', '10-1993', '02-1991', '03-2006', '04-2016', '06-2015']","['10-1993', '02-1997', '12-2011', '07-2015', '08-2017', '01-2019']"
5094,Masters,0,"['Senior', 'Senior', 'Worker', 'Senior', 'Senior', 'Senior', 'Senior']","['04-2005', '06-2006', '06-2009', '02-2011', '05-2012', '01-2016', '06-2015']","['06-2006', '06-2009', '02-2011', '03-2012', '06-2015', '01-2018', '07-2018']"
5095,Certificate,0,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['05-2000', '07-2010', '05-2011', '12-2011', '05-2018']","['12-2008', '05-2011', '10-2011', '10-2016', '08-2018']"
5096,Associates,0,"['Senior', 'Junior', 'Specialist', 'Junior', 'Worker', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior']","['07-1971', '01-1976', '11-1982', '01-1985', '01-1991', '11-1983', '11-2004', '06-2010', '03-2011', '09-2016']","['07-1974', '01-1980', '11-1983', '01-1990', '01-1993', '07-1997', '07-2009', '07-2010', '04-2011', '01-2019']"
5097,Bachelors,5,"['Junior', 'Specialist', 'Specialist', 'Specialist', 'Junior', 'Specialist', 'Senior']","['01-1986', '01-2000', '01-2001', '01-2002', '01-2003', '01-2016', '01-2015']","['01-1999', '01-2001', '01-2002', '01-2003', '01-2015', '01-2017', '01-2019']"
5098,Masters,32,"['Specialist', 'Specialist', 'Specialist']","['09-2000', '05-2006', '04-2015']","['09-2005', '03-2015', '01-2019']"
5099,Certificate,8,"['Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Worker', 'Worker', 'Specialist', 'Senior', 'Senior', 'Worker', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Junior', 'Specialist', 'Senior', 'Junior']","['11-1989', '08-1993', '11-1996', '08-1997', '03-2004', '06-2003', '11-2004', '11-2005', '05-2006', '07-2007', '02-2010', '05-2011', '10-2011', '03-2012', '06-2012', '07-2012', '08-2012', '12-2012', '10-2013', '02-2014', '09-2016', '09-2016', '05-2017', '05-2011']","['01-1993', '11-1996', '05-1997', '08-2000', '07-2004', '09-2004', '11-2005', '01-2006', '08-2006', '03-2008', '06-2010', '09-2011', '01-2012', '05-2012', '08-2012', '10-2012', '11-2012', '06-2013', '01-2014', '06-2014', '06-2017', '06-2017', '04-2018', '05-2018']"
5100,Bachelors,6,"['Worker', 'Worker', 'Worker', 'Worker', 'Worker', 'Senior', 'Senior', 'Senior', 'Worker', 'Senior', 'Specialist', 'Worker', 'Specialist', 'Worker']","['06-1990', '07-1990', '12-1995', '01-1996', '12-1997', '03-1998', '03-1999', '06-1999', '10-2002', '12-2007', '10-2012', '03-2017', '01-2013', '10-2017']","['07-1991', '02-1994', '12-1995', '01-1996', '12-1997', '03-1999', '05-1999', '02-2002', '12-2007', '02-2012', '12-2012', '10-2017', '01-2019', '01-2019']"
5101,Certificate,5,"['Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Junior', 'Junior', 'Senior', 'Worker', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Worker', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Worker', 'Specialist', 'Specialist', 'Worker', 'Worker', 'Senior', 'Specialist', 'Senior']","['01-2000', '01-2001', '01-2002', '01-2001', '01-2002', '01-2004', '01-2006', '01-2006', '01-2004', '01-2006', '01-2006', '01-2007', '01-2007', '01-2007', '01-2007', '01-2008', '01-2008', '01-2009', '01-2012', '01-2012', '06-2017', '11-2017', '01-2016', '01-2009', '01-2009', '01-2010', '01-2014', '01-2014', '01-2016']","['01-2001', '01-2002', '01-2002', '01-2004', '01-2004', '01-2005', '01-2006', '01-2006', '01-2008', '01-2008', '01-2008', '01-2008', '01-2008', '01-2008', '01-2008', '01-2010', '01-2010', '01-2012', '01-2014', '01-2014', '07-2017', '11-2017', '01-2018', '01-2019', '01-2019', '01-2019', '01-2019', '01-2019', '01-2019']"
5102,Masters,0,"['Worker', 'Senior', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior']","['01-1989', '01-1995', '01-2005', '01-2010', '01-2011', '01-2013', '01-2014', '01-1993', '07-2015']","['01-1993', '01-2002', '01-2010', '01-2011', '01-2013', '01-2014', '01-2015', '01-2019', '01-2019']"
5103,Bachelors,0,"['Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Junior', 'Junior', 'Worker', 'Senior', 'Senior']","['11-1996', '10-1997', '06-1999', '06-2000', '07-2002', '06-2003', '07-2005', '11-2010', '12-2010', '08-2008', '07-2016']","['10-1997', '05-1999', '05-2000', '06-2002', '06-2003', '07-2005', '08-2008', '12-2010', '06-2013', '06-2014', '01-2019']"
5104,Associates,5,"['Junior', 'Worker', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['05-2007', '03-2008', '07-2008', '11-2008', '12-2009', '06-2010', '06-2012', '07-2014', '07-2015', '09-2016']","['03-2008', '07-2008', '11-2008', '12-2009', '06-2010', '06-2012', '07-2014', '06-2015', '09-2016', '01-2019']"
5105,Masters,0,"['Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist']","['07-2008', '10-2010', '04-2014', '08-2017', '02-2018']","['10-2010', '04-2014', '08-2017', '02-2018', '01-2019']"
5106,Bachelors,0,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior']","['01-1979', '01-1990', '01-1992', '01-1994', '01-1996', '01-1997', '01-1999', '10-2001', '04-2002', '12-2009', '01-2013', '09-2014']","['01-1992', '01-1992', '01-1994', '01-1996', '01-1997', '01-1999', '01-2001', '04-2002', '12-2009', '03-2013', '01-2014', '05-2018']"
